Código,Produto,Categoria,Valor
680,Maçarico,REFRIGERAÇÃO,"R$180,00"
447,Mexedor (100),DESCARTAVEL,"R$9,00"
336,Milho,DISPENSA,"R$4,00"
1064,Milho kg,ANIMAIS,"R$1,56"
823,Mingau de Aveia,XCafé da Manhã,"R$0,00"
1036,Mini Colher cristal,DESCARTAVEL,"R$8,69"
562,Molho de tomate KG,FREEZER,"R$5,00"
1088,Motoserra,MAQUINARIO,"R$0,00"
759,Munguzá,XCafé da Manhã,"R$0,00"
338,Munguzá - 500g,DISPENSA,"R$2,50"
419,Máscara,GAVETEIRO,"R$4,00"
494,Naftalina,LIMPEZA,"R$4,30"
339,Nescau - 400g,DISPENSA,"R$7,00"
802,OVO INTEIRO,XCafé da Manhã,"R$0,00"
245,Objeto - Taça Quebrada,Hospedagem,"R$15,00"
836,Oficina Boobie gods,RECEPÇÃO,"R$25,00"
815,Omelete,XCafé da Manhã,"R$0,00"
763,Omelete carne,XCafé da Manhã,"R$0,00"
363,Ovo bandeja,GELADEIRA,"R$20,00"
764,Ovo mexido,XCafé da Manhã,"R$0,00"
566,PAMONHA,Alimentos,"R$8,00"
551,PEÇA GRANDE,Hospedagem,"R$5,00"
552,PEÇA PEQUENA,Hospedagem,"R$3,00"
211,POLPA DE ACEROLA,POLPA,"R$0,00"
197,POLPA DE CAJÁ,POLPA,"R$0,00"
198,POLPA DE CAJÚ,POLPA,"R$0,00"
199,POLPA DE GOIABA,POLPA,"R$0,00"
200,POLPA DE GRAVIOLA,POLPA,"R$0,00"
201,POLPA DE MARACUJÁ,POLPA,"R$0,00"
243,POLPA DE MARACUJÁ*,SUCOS SEM LEITE,"R$0,00"
202,POLPA DE MORANGO,POLPA,"R$0,00"
877,PORÇÃO CARNE,XJANTAR,"R$48,00"
876,PORÇÃO CARNE MISTA,XJANTAR,"R$32,00"
874,PORÇÃO CHOCOLATE,XJANTAR,"R$35,00"
878,PORÇÃO FRANGO,XJANTAR,"R$20,00"
875,PORÇÃO FRUTAS,XJANTAR,"R$20,00"
